Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimIndicator
0.58,C,4,1,26,90,B12,Diesel,359,R91,0
1.0,B,6,10,69,50,B2,Diesel,53,R24,0
1.0,A,6,12,44,50,B1,Diesel,11,R72,0
0.0027322404371584,D,4,10,23,85,B2,Regular,918,R11,0
1.0,B,8,11,39,72,B2,Diesel,84,R52,0
0.28,D,5,4,34,57,B1,Regular,754,R24,0
1.0,C,7,6,44,50,B10,Diesel,153,R41,0
1.0,B,6,7,38,50,B6,Regular,72,R24,0
0.04,D,10,3,59,50,B12,Diesel,1253,R73,0
0.47,B,6,10,66,50,B6,Diesel,86,R22,0
0.14,F,6,13,52,50,B1,Regular,10156,R11,0
0.08,D,4,15,29,72,B1,Regular,727,R31,0
1.0,A,6,13,30,64,B2,Diesel,10,R24,0
0.67,B,6,9,43,50,B2,Diesel,95,R24,0
0.44,C,7,10,46,50,B1,Regular,190,R72,0
1.0,A,5,14,73,50,B2,Diesel,42,R53,0
0.2,C,6,7,68,50,B12,Diesel,415,R91,0
1.0,E,10,5,53,50,B11,Regular,4087,R53,0
0.06,D,7,0,64,50,B12,Diesel,1229,R31,0
0.15,A,7,5,42,50,B5,Regular,18,R91,0
0.37,D,7,3,64,50,B12,Regular,1175,R54,0
0.21,C,7,2,60,50,B12,Regular,426,R91,0
0.7,E,10,2,54,50,B12,Regular,9307,R82,0
1.0,C,6,2,35,50,B1,Diesel,120,R91,0
0.12,C,7,18,40,50,B5,Regular,197,R93,0
0.16,C,6,10,30,85,B12,Diesel,167,R41,0
0.49,A,7,7,43,50,B2,Diesel,46,R91,0
0.29,E,6,7,91,62,B2,Diesel,8455,R82,1
0.7,D,11,1,59,50,B12,Diesel,698,R11,0
0.69,E,6,7,26,64,B1,Diesel,9307,R82,0
1.0,C,4,4,35,51,B2,Regular,221,R54,0
0.26,D,7,0,42,57,B12,Diesel,1247,R73,0
0.5,E,8,10,56,76,B1,Diesel,3317,R93,0
0.08,C,6,3,39,63,B2,Diesel,106,R24,0
0.88,D,4,2,35,53,B12,Regular,645,R94,0
1.0,E,9,12,43,50,B13,Regular,9812,R11,0
0.21,D,4,1,31,54,B12,Regular,570,R25,0
0.04,C,7,1,59,50,B12,Regular,215,R93,0
1.0,A,7,8,38,50,B12,Regular,44,R82,0
0.26,E,6,7,29,66,B2,Diesel,4348,R72,0
0.77,C,7,1,45,50,B2,Diesel,133,R24,0
0.94,D,4,10,41,50,B6,Regular,528,R93,0
0.75,C,11,6,30,54,B2,Regular,192,R54,0
1.0,D,5,11,35,64,B2,Diesel,745,R82,0
0.36,D,6,2,44,50,B12,Regular,1729,R74,0
0.87,D,7,2,61,50,B12,Regular,1066,R83,0
0.68,F,6,2,45,95,B12,Diesel,15725,R11,0
0.63,A,10,5,49,50,B2,Regular,41,R24,0
1.0,B,11,27,75,50,B2,Regular,79,R41,0
0.12,E,9,5,47,50,B12,Regular,3744,R93,0
0.83,E,4,7,46,68,B4,Regular,2131,R82,1
0.69,D,6,7,49,50,B3,Diesel,1601,R41,0
1.0,C,5,2,69,50,B2,Regular,262,R41,0
1.0,A,6,9,72,50,B1,Regular,45,R24,0
1.0,E,6,8,40,50,B3,Regular,3301,R73,0
1.0,C,5,5,75,50,B1,Regular,283,R25,0
0.28,A,7,14,28,72,B1,Regular,43,R24,0
0.6,C,7,13,39,50,B1,Regular,298,R24,0
1.0,A,5,5,68,50,B4,Diesel,37,R53,0
0.5,E,7,16,21,95,B1,Regular,3866,R24,0
0.08,E,4,7,42,72,B2,Diesel,2983,R31,0
0.24,E,9,9,34,54,B1,Regular,6729,R11,0
0.29,D,6,4,32,61,B4,Diesel,1962,R82,1
0.03,B,9,11,30,68,B2,Regular,71,R24,0
1.0,A,6,12,42,69,B2,Diesel,9,R82,0
0.49,A,8,14,51,50,B13,Diesel,47,R82,1
0.04,E,7,3,30,64,B12,Regular,3132,R11,0
0.16,D,6,8,29,85,B6,Diesel,1543,R91,0
0.66,A,4,5,54,50,B13,Regular,31,R82,0
1.0,C,7,2,77,52,B5,Diesel,405,R24,0
0.6,A,6,4,22,112,B2,Regular,42,R24,0
0.2,E,7,1,55,64,B12,Diesel,6485,R11,0
0.83,C,7,21,26,90,B1,Regular,308,R24,0
1.0,A,6,5,60,50,B1,Diesel,11,R24,1
0.08,D,7,12,59,50,B5,Regular,740,R82,0
1.0,E,4,1,36,50,B12,Regular,5877,R11,0
0.33,D,6,1,59,62,B1,Diesel,755,R11,0
0.03,C,8,15,50,95,B13,Regular,120,R93,0
1.0,E,9,13,39,72,B6,Regular,4116,R24,0
1.0,B,10,1,35,50,B12,Diesel,53,R72,0
0.95,D,8,0,59,50,B5,Diesel,1326,R93,0
0.94,B,6,13,46,50,B2,Diesel,81,R24,0
0.08,E,11,13,50,50,B2,Regular,5460,R11,0
1.0,A,6,10,42,50,B1,Diesel,50,R53,0
1.0,A,7,21,55,50,B1,Diesel,43,R24,0
0.62,F,5,8,23,100,B3,Diesel,17140,R11,0
0.27,D,7,9,42,50,B10,Diesel,738,R82,0
0.32,E,7,14,33,71,B11,Regular,4218,R11,0
0.99,E,11,13,51,53,B1,Regular,3317,R93,0
0.27,F,7,1,73,50,B12,Regular,27000,R11,0
0.81,E,5,13,53,90,B3,Regular,4456,R72,0
0.73,B,5,8,37,55,B5,Diesel,89,R52,0
0.61,A,11,4,57,50,B12,Diesel,17,R82,0
1.0,A,5,11,42,50,B2,Regular,7,R93,0
1.0,B,4,12,34,68,B2,Regular,79,R54,0
0.4,C,7,3,59,50,B12,Diesel,132,R93,1
0.46,C,7,1,31,95,B12,Regular,390,R41,0
0.28,A,8,4,56,50,B2,Diesel,46,R24,1
0.5,E,10,16,53,80,B5,Regular,3317,R93,0
0.93,C,4,1,55,50,B12,Regular,368,R82,0
0.26,E,8,0,34,68,B12,Regular,3240,R11,0
0.08,A,7,4,29,56,B2,Regular,42,R52,0
0.4,D,5,1,24,72,B12,Regular,824,R91,0
0.32,B,7,12,50,90,B1,Diesel,93,R53,0
0.08,D,5,1,50,50,B2,Diesel,578,R11,0
0.08,E,5,15,47,50,B2,Diesel,4059,R23,0
0.24,D,6,2,57,58,B1,Regular,636,R31,0
0.06,E,5,7,60,72,B2,Diesel,3859,R82,0
0.03,E,5,1,28,85,B12,Diesel,4470,R11,0
0.09,D,12,11,38,95,B10,Regular,1054,R24,0
1.0,E,4,13,31,72,B2,Regular,3386,R53,0
0.51,C,8,14,46,80,B2,Regular,298,R24,0
1.0,D,6,18,40,64,B12,Regular,747,R53,0
0.7,D,6,3,59,50,B1,Diesel,949,R24,0
0.74,D,4,11,53,50,B14,Regular,1323,R82,0
1.0,E,7,9,44,50,B1,Regular,4128,R52,0
0.08,D,5,7,37,50,B1,Regular,1326,R93,0
0.48,C,5,5,21,95,B3,Regular,223,R24,0
0.39,B,6,3,25,80,B1,Diesel,78,R82,0
1.0,A,7,11,59,50,B3,Regular,39,R53,0
1.0,E,7,5,39,50,B12,Regular,7187,R11,0
0.95,B,4,14,52,50,B1,Regular,70,R53,0
0.02,D,4,1,22,100,B12,Regular,782,R41,0
1.0,A,5,11,52,50,B3,Diesel,30,R24,0
0.5,A,7,8,23,54,B1,Diesel,11,R24,0
0.08,E,10,5,43,57,B1,Regular,6736,R11,0
0.92,E,5,4,31,100,B4,Diesel,5877,R11,0
0.49,B,7,16,40,50,B10,Regular,51,R93,0
0.34,D,7,2,55,50,B12,Diesel,1232,R93,0
0.53,A,11,1,49,50,B12,Diesel,42,R52,0
0.07,E,6,2,28,80,B2,Diesel,3341,R11,0
0.03,C,12,0,58,50,B12,Diesel,236,R31,0
1.0,C,5,10,34,72,B3,Diesel,138,R54,0
0.04,D,10,17,24,100,B5,Regular,598,R25,0
1.0,C,5,8,76,50,B1,Regular,298,R24,0
0.05,C,5,12,28,83,B1,Regular,165,R53,0
1.0,A,9,9,50,50,B14,Regular,26,R24,0
1.0,C,12,8,44,50,B13,Regular,175,R53,0
0.05,B,5,7,48,50,B3,Regular,51,R74,0
0.07,D,7,5,31,72,B1,Regular,800,R72,0
1.0,D,5,8,52,50,B2,Regular,614,R24,0
0.49,F,13,5,34,80,B13,Regular,22669,R11,1
1.0,D,5,8,60,50,B2,Regular,1110,R82,1
0.56,B,5,9,45,85,B5,Diesel,63,R24,1
0.49,C,9,15,51,50,B3,Regular,132,R24,0
0.87,D,5,4,69,50,B12,Regular,645,R91,0
0.49,E,7,1,44,54,B12,Regular,2580,R72,0
0.87,F,8,6,25,90,B12,Regular,17140,R11,0
0.08,E,6,7,26,85,B2,Diesel,2983,R31,0
0.45,D,7,3,41,76,B12,Regular,1445,R72,0
1.0,D,5,11,67,50,B14,Diesel,1054,R24,0
0.04,E,6,6,31,95,B2,Diesel,2252,R82,0
1.0,D,4,12,47,50,B2,Regular,983,R52,1
0.11,A,7,2,51,50,B3,Diesel,12,R24,0
0.47,D,5,0,48,72,B12,Regular,721,R93,1
0.06,E,9,24,52,50,B1,Regular,3688,R82,0
1.0,D,8,3,42,54,B2,Diesel,1158,R11,0
0.2,C,6,2,38,50,B1,Diesel,115,R52,0
0.08,E,5,1,46,60,B3,Regular,4059,R23,0
1.0,C,7,6,45,50,B1,Regular,349,R52,0
1.0,E,11,12,36,60,B2,Regular,3386,R53,0
0.14,C,4,7,39,50,B1,Regular,347,R53,0
0.44,C,6,7,24,90,B2,Diesel,186,R24,0
0.38,D,7,3,58,50,B12,Diesel,1326,R93,1
1.0,D,7,11,52,50,B1,Regular,842,R73,0
0.39,B,6,1,74,72,B1,Diesel,51,R24,0
1.0,D,5,5,49,50,B3,Regular,562,R82,0
1.0,C,6,4,33,63,B2,Diesel,208,R82,0
1.0,E,7,1,46,85,B2,Regular,3021,R53,0
0.0054794520547945,E,7,3,52,50,B1,Regular,4128,R52,0
0.07,C,8,0,54,50,B12,Diesel,306,R82,0
1.0,B,6,9,35,54,B12,Regular,64,R24,0
1.0,E,9,9,50,50,B10,Diesel,4436,R25,0
0.49,B,9,1,35,50,B10,Regular,66,R93,0
1.0,C,4,2,72,51,B1,Regular,473,R53,1
0.85,E,6,18,47,50,B2,Regular,4128,R52,0
0.61,D,7,1,55,50,B12,Regular,1410,R72,0
0.03,A,5,17,43,50,B6,Regular,38,R24,0
0.57,B,6,10,28,80,B2,Diesel,97,R53,0
0.72,B,6,3,41,50,B2,Regular,94,R53,1
0.07,D,6,10,48,50,B1,Diesel,1687,R93,0
0.57,F,9,3,76,68,B12,Regular,14368,R11,0
1.0,C,4,4,54,50,B1,Regular,149,R24,0
0.64,E,5,2,29,90,B6,Diesel,3963,R91,0
0.04,D,5,12,24,100,B1,Regular,626,R93,0
0.7,E,5,11,48,50,B3,Diesel,2103,R25,0
0.48,B,6,10,56,62,B1,Diesel,57,R24,1
1.0,C,8,13,52,50,B11,Regular,269,R91,0
0.16,B,6,0,37,52,B12,Regular,71,R82,0
1.0,D,4,11,33,50,B2,Regular,1313,R24,0
0.01,E,4,10,72,50,B4,Regular,3317,R93,0
0.5,D,6,6,43,50,B4,Regular,711,R82,0
0.32,C,5,9,29,60,B5,Diesel,452,R82,0
1.0,D,7,4,52,50,B2,Regular,1846,R72,0
0.63,C,5,11,53,50,B5,Diesel,383,R93,0
0.21,D,8,3,40,50,B1,Diesel,1054,R24,0
1.0,A,5,1,26,85,B1,Diesel,17,R24,1
0.11,B,7,11,51,50,B2,Regular,71,R53,0
0.01,F,4,2,26,68,B12,Diesel,16533,R11,0
1.0,D,5,4,69,50,B1,Regular,741,R24,0
0.91,C,9,10,43,50,B3,Regular,114,R93,0
0.07,D,11,0,60,50,B10,Regular,883,R93,0
0.49,C,4,7,55,50,B1,Regular,473,R53,0
0.83,E,6,3,26,68,B1,Regular,4348,R72,0
0.3,F,5,3,40,85,B12,Regular,17140,R11,0
1.0,C,7,14,49,50,B2,Diesel,120,R72,0
0.11,E,7,2,51,50,B1,Regular,3317,R93,0
1.0,C,5,9,50,50,B2,Diesel,393,R91,0
0.16,C,10,1,39,54,B12,Regular,258,R72,0
1.0,C,4,8,49,55,B2,Regular,283,R25,0
0.0027397260273972,E,9,0,48,50,B2,Regular,4116,R24,0
0.38,C,6,8,61,50,B1,Regular,227,R54,1
0.07,B,4,3,33,67,B4,Regular,64,R26,0
0.07,C,4,3,45,50,B3,Diesel,221,R91,0
1.0,B,6,9,59,50,B2,Diesel,50,R24,0
0.08,D,7,12,62,50,B2,Diesel,1313,R24,0
0.83,E,7,15,50,50,B1,Regular,3963,R91,0
0.41,B,7,16,79,50,B2,Regular,71,R24,0
0.71,D,6,3,59,50,B12,Regular,620,R52,0
0.12,F,4,4,53,50,B12,Regular,22669,R11,0
0.38,E,7,0,35,50,B3,Diesel,2740,R22,0
0.24,A,7,13,34,50,B2,Diesel,24,R82,0
0.71,C,6,1,56,50,B12,Diesel,116,R93,0
0.08,D,7,19,32,50,B2,Regular,1027,R24,0
0.12,D,11,3,50,50,B12,Diesel,721,R93,0
1.0,A,5,6,54,50,B1,Regular,8,R24,0
0.15,B,5,5,38,77,B3,Diesel,73,R24,0
0.56,E,4,1,40,90,B1,Regular,3866,R24,0
0.3,E,6,6,21,90,B3,Diesel,3744,R93,1
0.49,B,7,8,39,55,B4,Diesel,72,R23,0
1.0,D,5,4,84,50,B6,Diesel,568,R24,0
0.08,A,5,15,24,95,B6,Regular,21,R24,0
0.08,D,5,4,49,50,B5,Diesel,1326,R93,0
0.85,D,4,11,57,50,B1,Regular,1403,R93,0
1.0,E,4,11,72,50,B1,Regular,3386,R53,0
1.0,A,6,9,67,50,B2,Diesel,11,R24,0
0.68,C,7,8,43,50,B2,Regular,169,R82,1
0.54,C,7,5,60,50,B12,Diesel,369,R73,0
0.1,D,6,1,40,62,B12,Diesel,1237,R21,0
0.08,E,4,6,35,85,B2,Diesel,3744,R93,0
0.08,A,6,6,36,50,B2,Diesel,45,R93,0
1.0,D,5,9,88,62,B2,Diesel,521,R82,1
0.12,B,8,13,67,50,B6,Diesel,76,R24,0
0.2,C,4,6,29,90,B2,Diesel,179,R73,0
0.85,D,8,0,39,64,B12,Diesel,721,R93,0
0.08,A,6,8,54,62,B1,Regular,19,R24,0
0.65,E,4,13,35,50,B2,Regular,4116,R24,0
1.0,A,9,7,51,50,B13,Diesel,48,R25,0
0.27,E,10,10,32,72,B12,Regular,3661,R11,0
1.0,A,4,15,33,51,B1,Regular,38,R24,0
0.41,A,7,6,38,50,B5,Regular,20,R53,0
1.0,B,6,14,33,58,B2,Diesel,84,R31,0
0.08,C,7,0,40,50,B10,Diesel,473,R53,0
0.08,E,7,7,32,72,B3,Diesel,3744,R93,0
0.46,D,11,3,61,62,B12,Diesel,678,R23,0
0.49,C,6,2,50,50,B2,Regular,206,R93,0
1.0,C,4,12,28,68,B2,Regular,117,R25,0
0.25,C,5,4,60,50,B12,Regular,330,R93,0
0.37,D,6,7,23,85,B1,Regular,741,R24,0
1.0,D,7,7,71,50,B1,Diesel,837,R53,0
0.63,C,4,15,50,50,B2,Regular,187,R82,0
0.08,E,5,17,29,64,B1,Regular,2983,R31,0
0.79,C,4,1,62,50,B12,Diesel,240,R42,0
0.41,C,4,5,50,58,B3,Regular,261,R72,0
0.07,C,6,15,46,50,B6,Regular,330,R52,0
0.98,D,9,7,57,50,B2,Regular,1313,R24,0
0.21,E,5,3,71,50,B12,Regular,2604,R11,0
0.45,F,12,2,61,50,B12,Diesel,27000,R11,0
0.2,A,6,10,42,50,B12,Regular,15,R93,0
0.03,C,4,8,56,50,B6,Regular,462,R91,0
0.18,E,5,1,29,72,B12,Regular,3963,R91,0
0.28,C,8,3,52,62,B2,Diesel,323,R91,0
0.07,E,4,1,27,95,B6,Regular,3021,R53,0
0.08,D,6,0,27,85,B13,Diesel,558,R23,0
0.2,E,8,4,40,50,B12,Diesel,2859,R11,0
0.22,D,7,1,51,50,B1,Diesel,983,R52,0
0.29,F,12,2,51,76,B12,Diesel,15703,R11,0
1.0,C,4,3,44,50,B12,Regular,242,R82,0
0.74,B,6,5,80,50,B1,Regular,51,R24,0
0.3,E,9,5,32,51,B12,Regular,4348,R72,0
0.23,C,6,5,42,50,B1,Diesel,399,R24,0
1.0,A,6,7,63,50,B1,Diesel,11,R24,0
0.51,A,7,11,34,50,B3,Regular,38,R24,0
0.49,E,7,5,46,70,B10,Diesel,3366,R11,0
0.03,D,7,12,59,100,B2,Regular,741,R24,0
1.0,D,5,11,53,50,B1,Diesel,634,R53,0
0.49,A,4,9,39,50,B2,Diesel,27,R24,0
0.92,F,4,0,60,100,B12,Regular,27000,R11,0
0.86,C,7,2,55,50,B12,Diesel,373,R83,0
0.06,D,5,8,41,50,B1,Regular,1232,R93,0
0.93,E,7,0,52,70,B12,Regular,6689,R11,0
0.59,D,5,9,23,80,B5,Diesel,1054,R24,0
1.0,D,5,6,51,50,B3,Diesel,1165,R53,1
1.0,E,4,1,51,50,B12,Regular,8455,R82,0
1.0,A,5,1,42,50,B1,Diesel,23,R24,0
0.44,E,4,8,36,56,B5,Regular,2575,R52,0
1.0,B,6,6,78,50,B1,Regular,64,R72,0
0.48,E,10,23,60,56,B10,Diesel,4762,R93,0
0.37,A,5,5,53,50,B5,Diesel,48,R54,0
1.0,A,6,16,53,50,B1,Diesel,44,R52,0
1.0,E,8,13,65,50,B10,Diesel,3386,R53,0
0.27,B,15,0,56,50,B12,Regular,85,R93,0
0.93,B,6,1,44,50,B2,Diesel,99,R24,1
1.0,C,12,1,52,50,B12,Regular,325,R93,0
1.0,D,4,11,36,50,B5,Regular,581,R82,0
0.87,F,7,5,53,50,B12,Regular,15386,R11,0
1.0,F,13,5,67,50,B6,Regular,27000,R11,1
0.53,E,5,1,77,50,B12,Regular,2365,R31,0
0.66,C,4,16,38,50,B1,Regular,405,R24,0
0.5,C,6,1,48,50,B12,Diesel,473,R11,0
0.12,C,4,9,59,51,B1,Diesel,149,R24,0
0.16,D,6,3,56,50,B2,Regular,983,R52,0
0.24,C,6,6,53,50,B2,Diesel,182,R24,0
0.46,D,6,9,54,50,B3,Regular,776,R41,0
1.0,B,4,5,75,50,B6,Regular,94,R53,0
0.59,B,7,0,43,50,B12,Diesel,97,R72,0
0.01,A,13,5,71,50,B11,Regular,48,R24,0
0.75,C,6,1,46,50,B12,Diesel,109,R54,0
0.16,A,5,13,42,50,B12,Regular,36,R72,0
0.08,A,4,8,34,68,B4,Diesel,24,R11,0
1.0,D,5,11,60,50,B1,Regular,1408,R52,0
0.18,D,9,5,29,80,B2,Regular,883,R93,0
1.0,E,6,8,45,76,B2,Diesel,5449,R82,0
0.46,E,6,1,48,50,B6,Diesel,3095,R31,0
0.12,D,7,8,40,50,B10,Diesel,741,R24,0
0.53,B,5,2,70,50,B12,Regular,75,R24,0
1.0,C,6,9,47,50,B1,Diesel,192,R24,0
0.83,E,10,11,45,50,B12,Regular,3317,R93,0
0.12,E,6,8,53,50,B3,Regular,3744,R93,0
0.33,E,6,5,50,50,B5,Regular,2007,R11,0
0.07,B,7,18,35,80,B2,Diesel,98,R82,0
0.88,D,4,7,59,50,B2,Regular,1323,R82,0
0.74,B,10,11,58,50,B6,Regular,72,R24,0
0.15,A,6,4,20,95,B2,Diesel,15,R24,0
0.41,D,8,12,45,68,B1,Diesel,1719,R82,0
0.24,D,5,12,19,100,B2,Diesel,878,R82,1
0.45,C,4,6,66,50,B12,Regular,315,R91,0
1.0,D,6,8,66,50,B2,Diesel,1313,R24,1
0.01,E,4,12,41,81,B3,Regular,9307,R82,0
0.28,D,5,3,72,50,B12,Regular,818,R31,0
0.41,C,5,2,52,50,B1,Regular,369,R24,1
0.34,C,5,0,58,60,B5,Regular,210,R82,0
1.0,C,6,16,40,50,B2,Regular,177,R91,0
0.04,E,8,0,60,50,B12,Diesel,3301,R73,0
1.0,B,7,7,26,60,B1,Diesel,59,R25,0
0.08,E,5,13,38,51,B2,Regular,3708,R26,0
0.01,B,4,1,43,50,B12,Regular,66,R54,0
0.08,E,5,2,25,76,B3,Diesel,2983,R31,1
0.08,E,6,2,41,50,B4,Regular,4059,R23,0
0.94,A,4,1,45,50,B12,Regular,41,R74,0
0.07,C,7,2,43,80,B12,Regular,298,R82,0
1.0,C,4,12,44,50,B1,Regular,155,R24,0
0.13,A,6,5,28,60,B12,Diesel,6,R91,0
0.26,C,6,2,38,54,B12,Diesel,358,R73,0
0.2,D,5,2,46,60,B12,Regular,1294,R72,0
0.24,D,6,10,53,50,B1,Diesel,1448,R93,0
0.14,D,5,17,25,85,B2,Regular,1408,R52,0
0.12,F,11,1,41,50,B12,Regular,27000,R11,0
0.45,E,7,10,54,50,B1,Diesel,2648,R31,0
0.08,E,5,8,37,51,B2,Diesel,2191,R26,0
0.06,E,7,0,25,68,B12,Regular,8549,R82,0
0.12,E,8,4,58,50,B12,Regular,4348,R72,0
1.0,A,8,4,57,50,B6,Diesel,11,R24,0
0.4,A,6,2,64,50,B11,Diesel,31,R52,0
0.71,B,5,5,46,50,B12,Diesel,83,R52,0
0.49,E,7,0,27,70,B1,Regular,4762,R93,1
0.04,A,4,11,46,50,B14,Regular,30,R24,0
0.52,B,8,2,42,50,B12,Diesel,94,R72,0
0.12,B,4,2,24,95,B12,Regular,97,R24,0
0.2,D,10,2,28,80,B12,Regular,626,R93,0
0.3,C,4,1,45,50,B12,Diesel,377,R93,0
0.38,B,13,11,46,50,B11,Regular,93,R91,0
0.0054794520547945,A,4,7,45,50,B2,Regular,37,R24,0
0.49,E,11,16,49,54,B2,Regular,6736,R11,0
0.34,E,8,0,57,50,B2,Regular,3688,R82,0
0.2,D,7,17,28,100,B2,Diesel,1635,R82,0
0.08,B,4,3,42,50,B2,Diesel,59,R93,0
0.69,C,6,15,46,50,B1,Diesel,196,R52,0
0.24,C,7,33,65,50,B1,Regular,114,R93,0
0.79,C,6,2,28,64,B3,Diesel,140,R24,0
0.08,E,5,14,27,72,B2,Regular,7313,R31,0
0.75,D,5,5,35,72,B1,Diesel,1443,R11,0
0.7,B,6,7,32,60,B12,Regular,71,R82,0
0.73,C,7,11,20,90,B1,Diesel,173,R82,0
1.0,E,8,16,47,50,B10,Diesel,4116,R24,0
1.0,B,4,17,80,50,B1,Regular,66,R52,0
1.0,E,7,2,61,50,B1,Regular,4087,R53,0
0.12,E,7,5,28,68,B4,Diesel,3628,R82,0
0.14,B,9,11,35,68,B10,Diesel,94,R83,0
0.22,B,6,9,30,64,B6,Diesel,94,R54,0
0.68,E,4,1,54,50,B12,Regular,4123,R11,0
0.13,D,7,3,52,50,B1,Diesel,754,R24,0
0.46,C,5,9,31,59,B2,Diesel,269,R31,0
0.22,E,6,7,30,100,B1,Diesel,3368,R24,0
1.0,C,6,8,39,58,B2,Diesel,362,R54,0
0.27,D,8,0,29,54,B12,Regular,966,R72,0
1.0,D,6,6,45,50,B3,Regular,575,R53,0
0.79,D,6,8,45,80,B2,Diesel,1323,R82,0
1.0,D,8,2,48,72,B2,Diesel,1384,R82,1
0.5,C,6,17,29,60,B3,Regular,359,R53,0
0.89,C,7,9,28,76,B1,Regular,169,R52,0
1.0,E,7,2,46,50,B1,Diesel,8455,R82,0
0.39,D,7,1,34,50,B11,Regular,1294,R72,0
0.97,D,4,14,55,50,B2,Regular,555,R82,1
0.08,E,4,19,35,64,B1,Regular,4059,R23,0
0.2,E,5,9,32,80,B5,Diesel,2740,R22,0
0.46,C,8,1,42,50,B12,Regular,391,R83,0
1.0,C,7,1,37,58,B2,Diesel,174,R53,1
0.72,E,4,11,34,64,B2,Regular,9307,R82,0
0.92,F,6,8,38,54,B1,Diesel,15725,R11,0
0.54,B,5,15,51,50,B2,Regular,99,R53,0
0.55,D,4,1,47,100,B12,Regular,1381,R82,0
1.0,C,6,9,59,50,B2,Diesel,116,R53,0
0.09,C,9,4,33,57,B12,Regular,164,R11,0
0.42,D,5,4,40,50,B12,Regular,626,R93,0
1.0,E,5,7,52,60,B1,Regular,4646,R82,0
0.2,A,4,4,75,80,B12,Regular,46,R25,0
1.0,C,6,1,68,50,B2,Diesel,111,R82,0
0.61,B,4,4,78,64,B12,Diesel,77,R91,0
0.66,D,7,19,24,100,B2,Regular,1466,R31,1
0.33,D,7,14,44,60,B2,Diesel,1353,R31,0
0.03,D,5,1,28,63,B4,Diesel,874,R31,0
0.79,D,8,12,39,80,B10,Diesel,1027,R24,0
1.0,C,7,2,52,50,B1,Diesel,229,R53,0
0.6,E,7,1,50,50,B12,Diesel,8455,R82,0
0.05,E,4,0,36,50,B12,Diesel,6485,R11,0
1.0,A,8,5,25,100,B2,Regular,40,R24,1
0.58,E,8,2,48,50,B12,Regular,2733,R93,0
1.0,E,4,5,47,50,B1,Regular,3657,R82,0
0.15,B,5,9,64,50,B2,Diesel,84,R52,0
0.31,C,9,8,46,50,B3,Regular,342,R93,0
0.9,C,5,1,73,62,B1,Diesel,299,R82,1
0.04,D,7,1,29,64,B12,Diesel,1521,R82,0
0.0027397260273972,C,5,3,33,52,B1,Diesel,104,R24,0
0.75,E,6,4,53,50,B3,Diesel,2163,R52,0
1.0,C,7,27,78,50,B5,Regular,182,R24,0
0.26,C,7,2,45,50,B12,Diesel,113,R83,0
0.21,B,9,11,24,85,B11,Regular,51,R24,0
0.29,D,5,14,68,50,B3,Regular,634,R53,0
0.11,C,7,5,60,50,B1,Regular,131,R24,0
0.11,C,7,20,42,60,B2,Diesel,298,R82,0
0.24,A,6,14,44,65,B1,Diesel,10,R24,0
0.4,C,7,0,43,50,B1,Diesel,276,R82,0
0.08,C,11,2,40,50,B13,Regular,362,R82,0
1.0,E,6,7,45,50,B4,Regular,3688,R82,0
1.0,B,5,5,30,54,B1,Regular,78,R82,0
1.0,B,4,16,74,50,B1,Regular,85,R52,0
0.46,C,5,12,71,50,B3,Diesel,303,R11,0
0.87,D,5,5,57,50,B12,Regular,863,R82,1
0.38,D,5,5,24,95,B2,Diesel,716,R93,0
0.58,E,7,3,46,50,B3,Regular,2252,R82,0
0.05,E,6,0,38,50,B3,Diesel,3317,R93,0
0.17,D,5,10,25,76,B1,Regular,1205,R31,0
0.08,A,6,8,34,50,B2,Diesel,19,R72,0
0.32,E,6,5,61,50,B2,Regular,2733,R93,0
0.25,E,5,10,43,95,B5,Diesel,3866,R24,0
0.06,A,6,12,42,50,B2,Diesel,20,R24,0
0.12,E,8,0,30,60,B4,Regular,2715,R24,0
1.0,A,5,7,26,68,B5,Diesel,19,R74,0
0.3,E,5,15,27,100,B2,Diesel,3317,R93,0
1.0,D,7,2,55,50,B1,Diesel,522,R52,0
0.5,E,11,14,41,76,B1,Regular,8561,R11,0
0.96,D,7,5,37,50,B12,Diesel,1807,R11,0
0.73,E,5,6,54,50,B1,Regular,4128,R52,0
1.0,C,6,6,55,50,B5,Diesel,473,R53,0
1.0,D,4,11,56,50,B3,Diesel,1329,R11,0
1.0,B,4,11,54,50,B6,Regular,57,R24,0
0.23,C,10,13,52,60,B2,Diesel,148,R24,0
0.22,E,9,0,43,50,B12,Regular,2147,R31,1
0.18,B,6,11,33,57,B6,Regular,57,R24,0
0.41,E,6,16,46,95,B3,Regular,4116,R24,0
0.28,A,5,5,28,72,B6,Diesel,26,R83,0
0.35,A,6,4,28,80,B2,Diesel,11,R24,0
0.12,D,5,7,27,90,B5,Diesel,1326,R93,0
0.24,C,7,12,57,58,B2,Diesel,131,R24,0
0.07,C,6,9,21,95,B3,Diesel,308,R43,0
1.0,C,5,1,74,50,B2,Diesel,298,R24,0
0.08,E,6,11,44,50,B2,Diesel,6157,R31,0
1.0,D,6,15,43,55,B12,Regular,747,R53,1
1.0,C,5,15,56,64,B2,Regular,114,R82,0
0.3,C,8,0,48,50,B12,Regular,130,R91,0
0.81,E,6,5,64,85,B2,Diesel,5202,R11,1
